SeasonID,Season,Year,SeasonName
11,Winter,2007,Winter 2007
12,Spring,2008,Spring 2008
13,Winter,2008,Winter 2008
14,Spring,2009,Spring 2009
15,Winter,2009,Winter 2009
16,Spring,2010,Spring 2010
17,Winter,2010,Winter 2010
18,,,
19,Spring,2011,Spring 2011
20,Winter,2011,Winter 2011
21,,,
22,Spring,2012,Spring 2012
23,Fall,2012,Fall 2012
24,,,
25,Spring,2013,Spring 2013
26,,,
27,Fall,2013,Fall 2013
28,,,
29,Spring,2014,Spring 2014
30,Fall,2014,Fall 2014
31,,,
32,Spring,2015,Spring 2015
33,Fall,2015,Fall 2015
34,,,
35,Spring,2016,Spring 2016
36,,,
37,Fall,2016,Fall 2016
38,,,
39,Spring,2017,Spring 2017
40,Fall,2017,Fall 2017
41,,,
42,Spring,2018,Spring 2018
43,Fall,2018,Fall 2018
44,,,
45,Spring,2019,Spring 2019
46,Fall,2019,Fall 2019
47,,,
48,Spring,2021,Spring 2021
49,,,
50,Summer,2021,Summer 2021
51,Fall,2021,Fall 2021
52,Winter,2022,Winter 2022
53,,,
54,Summer,2022,Summer 2022
55,Fall,2022,Fall 2022
56,Winter,2023,Winter 2023
59,Summer,2023,Summer 2023
0,Current,,Current
